name	unique reads 180726-190530_Brain_S36 180726-190530_Brain_S36	180726-190530_Brain_S36	180726-190530_Brain_S36 (mult. map. adj.)	180726-190530_Brain_S36180726-190530_Brain_S36(lib)	180726-190530_Brain_S36180726-190530_Brain_S36(total)	coordinateString 180726-190530_Brain_S36 180726-190530_Brain_S36	180726-190530_Brain_S36 (lib)	180726-190530_Brain_S36 (total)
ENST00000361739.1-ENSG00000198712.1:protein_coding	11.0	367.0	183.5	446472.01946472016	24.4404518380252	MT:hsa;ENST00000361739.1-ENSG00000198712.1:protein_coding,7586,7645,+	223236.00973236008	12.2202259190126
ENST00000361739.1-ENSG00000198712.1:protein_coding	11.0	367.0	183.5	446472.01946472016	24.4404518380252	1:hsa;ENST00000361739.1-ENSG00000198712.1:protein_coding,632757,632816,+	223236.00973236008	12.2202259190126
ENST00000361567.2-ENSG00000198786.2:protein_coding	11.0	206.0	206.0	250608.27250608272	13.718618742869731	MT:hsa;ENST00000361567.2-ENSG00000198786.2:protein_coding,12337,12396,+	250608.27250608272	13.718618742869731
ENST00000361453.3-ENSG00000198763.3:protein_coding	8.0	92.0	46.0	111922.1411192214	6.126761768660269	MT:hsa;ENST00000361453.3-ENSG00000198763.3:protein_coding,4470,4529,+	55961.0705596107	3.0633808843301344
ENST00000361453.3-ENSG00000198763.3:protein_coding	8.0	92.0	46.0	111922.1411192214	6.126761768660269	1:hsa;ENST00000361453.3-ENSG00000198763.3:protein_coding,629640,629699,+	55961.0705596107	3.0633808843301344
ENST00000361681.2-ENSG00000198695.2:protein_coding	4.0	50.0	50.0	60827.2506082725	3.329761830793624	MT:hsa;ENST00000361681.2-ENSG00000198695.2:protein_coding,14614,14673,-	60827.2506082725	3.329761830793624
ENST00000361624.2-ENSG00000198804.2:protein_coding	3.0	50.0	25.0	60827.2506082725	3.329761830793624	MT:hsa;ENST00000361624.2-ENSG00000198804.2:protein_coding,5904,5963,+	30413.62530413625	1.664880915396812
ENST00000361624.2-ENSG00000198804.2:protein_coding	3.0	50.0	25.0	60827.2506082725	3.329761830793624	1:hsa;ENST00000361624.2-ENSG00000198804.2:protein_coding,631074,631133,+	30413.62530413625	1.664880915396812
ENST00000361899.2-ENSG00000198899.2:protein_coding	1.0	24.0	24.0	29197.0802919708	1.5982856787809396	MT:hsa;ENST00000361899.2-ENSG00000198899.2:protein_coding,8527,8586,+	29197.0802919708	1.5982856787809396
ENST00000460116.5-ENSG00000234343.6:nonsense_mediated_decay	1.0	15.0	1.25	18248.17518248175	0.9989285492380873	6:hsa;ENST00000460116.5-ENSG00000234343.6:nonsense_mediated_decay,31862757,31862816,-	1520.6812652068127	0.08324404576984061
